Pavarde             Vardas              Galutinis (Vid.)    
-----------------------------------------------------------
Pavarde1            Vardas1             8.20                
Pavarde100          Vardas100           6.93                
Pavarde10000        Vardas10000         7.99                
Pavarde1001         Vardas1001          8.35                
Pavarde1004         Vardas1004          5.48                
Pavarde1005         Vardas1005          6.93                
Pavarde1008         Vardas1008          6.12                
Pavarde1009         Vardas1009          5.15                
Pavarde1010         Vardas1010          6.67                
Pavarde1014         Vardas1014          5.84                
Pavarde1017         Vardas1017          6.11                
Pavarde1019         Vardas1019          6.36                
Pavarde1020         Vardas1020          8.15                
Pavarde1024         Vardas1024          5.73                
Pavarde1025         Vardas1025          5.88                
Pavarde1027         Vardas1027          7.59                
Pavarde1028         Vardas1028          6.35                
Pavarde1029         Vardas1029          6.47                
Pavarde103          Vardas103           5.15                
Pavarde1030         Vardas1030          5.08                
Pavarde1034         Vardas1034          8.00                
Pavarde104          Vardas104           5.18                
Pavarde1048         Vardas1048          8.20                
Pavarde105          Vardas105           7.59                
Pavarde1051         Vardas1051          7.70                
Pavarde1052         Vardas1052          6.14                
Pavarde1054         Vardas1054          7.23                
Pavarde1055         Vardas1055          6.10                
Pavarde1057         Vardas1057          6.42                
Pavarde1061         Vardas1061          6.34                
Pavarde1062         Vardas1062          5.81                
Pavarde1063         Vardas1063          6.98                
Pavarde1067         Vardas1067          7.63                
Pavarde1068         Vardas1068          7.15                
Pavarde1069         Vardas1069          5.99                
Pavarde107          Vardas107           5.06                
Pavarde1070         Vardas1070          6.82                
Pavarde1071         Vardas1071          5.62                
Pavarde1072         Vardas1072          5.49                
Pavarde1074         Vardas1074          7.59                
Pavarde1075         Vardas1075          8.12                
Pavarde1076         Vardas1076          5.59                
Pavarde1077         Vardas1077          6.94                
Pavarde1079         Vardas1079          6.14                
Pavarde1082         Vardas1082          8.40                
Pavarde1085         Vardas1085          7.51                
Pavarde1086         Vardas1086          8.18                
Pavarde1087         Vardas1087          5.75                
Pavarde1090         Vardas1090          5.06                
Pavarde1092         Vardas1092          8.29                
Pavarde1096         Vardas1096          5.56                
Pavarde1097         Vardas1097          5.31                
Pavarde11           Vardas11            5.76                
Pavarde110          Vardas110           5.08                
Pavarde1101         Vardas1101          5.80                
Pavarde1102         Vardas1102          5.46                
Pavarde1103         Vardas1103          8.13                
Pavarde1104         Vardas1104          5.24                
Pavarde1107         Vardas1107          6.79                
Pavarde1108         Vardas1108          5.78                
Pavarde1109         Vardas1109          5.09                
Pavarde111          Vardas111           5.82                
Pavarde1110         Vardas1110          8.41                
Pavarde1112         Vardas1112          6.36                
Pavarde1115         Vardas1115          5.98                
Pavarde1116         Vardas1116          5.72                
Pavarde1117         Vardas1117          5.20                
Pavarde112          Vardas112           5.92                
Pavarde1122         Vardas1122          6.28                
Pavarde1123         Vardas1123          7.38                
Pavarde1126         Vardas1126          7.52                
Pavarde1128         Vardas1128          7.56                
Pavarde113          Vardas113           7.61                
Pavarde1131         Vardas1131          7.62                
Pavarde1132         Vardas1132          6.19                
Pavarde1133         Vardas1133          8.19                
Pavarde1135         Vardas1135          7.08                
Pavarde1137         Vardas1137          7.76                
Pavarde1138         Vardas1138          6.63                
Pavarde1139         Vardas1139          5.11                
Pavarde114          Vardas114           5.08                
Pavarde1140         Vardas1140          8.48                
Pavarde1141         Vardas1141          6.46                
Pavarde1143         Vardas1143          6.35                
Pavarde1147         Vardas1147          7.45                
Pavarde1148         Vardas1148          6.00                
Pavarde1149         Vardas1149          7.52                
Pavarde1151         Vardas1151          6.07                
Pavarde1152         Vardas1152          7.93                
Pavarde1153         Vardas1153          5.01                
Pavarde1155         Vardas1155          5.98                
Pavarde1156         Vardas1156          8.27                
